"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Admin navigates to user management and creates a new user account.","6278","Verify that admin can create a new user","Surefire suite","Tue Jun 10 01:16:06 EET 2025","passed","Tue Jun 10 01:16:13 EET 2025","test.AdminDisableEmployeeTest","Surefire test","test.AdminDisableEmployeeTest","adminCanCreateUser"
"Verify that a toast appears with 'Successfully Saved' after creating user.","1460","Confirm success toast after creating user","OrangeHRM Sequential Suite","Tue Jun 10 02:12:07 EET 2025","passed","Tue Jun 10 02:12:08 EET 2025","test.AdminDisableEmployeeTest","Chrome - DisableUser","test.AdminDisableEmployeeTest","confirmSuccessToast"
"Verify that a toast appears with 'Successfully Updated' after disabling user.","1207","Confirm success toast after disabling user","Surefire suite","Tue Jun 10 01:16:21 EET 2025","passed","Tue Jun 10 01:16:22 EET 2025","test.AdminDisableEmployeeTest","Surefire test","test.AdminDisableEmployeeTest","confirmSuccessToastAfterDisable"
"Newly created user logs in and profile name is validated.","11485","Log in with the newly created user account","OrangeHRM Sequential Suite","Tue Jun 10 02:12:51 EET 2025","broken","Tue Jun 10 02:13:03 EET 2025","test.AdminCreateUserTest","Firefox - CreateUser","test.AdminCreateUserTest","newUserCanLogin"
"Admin navigates to user management and creates a new user account.","5435","Verify that admin can create a new user","OrangeHRM Sequential Suite","Tue Jun 10 02:12:01 EET 2025","passed","Tue Jun 10 02:12:07 EET 2025","test.AdminDisableEmployeeTest","Chrome - DisableUser","test.AdminDisableEmployeeTest","adminCanCreateUser"
"Admin adds a new user with a unique username and a predefined password.","5488","Create a new user from the Admin panel","OrangeHRM Sequential Suite","Tue Jun 10 02:11:44 EET 2025","passed","Tue Jun 10 02:11:50 EET 2025","test.AdminCreateUserTest","Chrome - CreateUser","test.AdminCreateUserTest","adminCanCreateUser"
"Admin opens the profile dropdown and logs out.","2227","Verify that admin can log out successfully","Surefire suite","Tue Jun 10 01:16:22 EET 2025","passed","Tue Jun 10 01:16:24 EET 2025","test.AdminDisableEmployeeTest","Surefire test","test.AdminDisableEmployeeTest","adminCanLogout"
"Admin logs in using valid credentials and is redirected to the dashboard.","1555","Verify that the admin user can log in successfully","OrangeHRM Sequential Suite","Tue Jun 10 02:12:23 EET 2025","passed","Tue Jun 10 02:12:25 EET 2025","test.AdminLoginTest","Firefox - Login","test.AdminLoginTest","adminCanLogin"
"Check that a success toast appears confirming the user was created.","1437","Verify success message appears after user creation","OrangeHRM Sequential Suite","Tue Jun 10 02:11:50 EET 2025","passed","Tue Jun 10 02:11:51 EET 2025","test.AdminCreateUserTest","Chrome - CreateUser","test.AdminCreateUserTest","confirmSuccessToast"
"Admin opens the profile dropdown and logs out successfully.","1741","Verify that the admin user can log out","OrangeHRM Sequential Suite","Tue Jun 10 02:11:36 EET 2025","passed","Tue Jun 10 02:11:38 EET 2025","test.AdminLoginTest","Chrome - Login","test.AdminLoginTest","adminCanLogout"
"Verify that a toast appears with 'Successfully Updated' after disabling user.","10528","Confirm success toast after disabling user","OrangeHRM Sequential Suite","Tue Jun 10 02:13:49 EET 2025","broken","Tue Jun 10 02:14:00 EET 2025","test.AdminDisableEmployeeTest","Firefox - DisableUser","test.AdminDisableEmployeeTest","confirmSuccessToastAfterDisable"
"Admin logs out using the profile dropdown.","1304","Log out from the admin account","OrangeHRM Sequential Suite","Tue Jun 10 02:11:51 EET 2025","passed","Tue Jun 10 02:11:52 EET 2025","test.AdminCreateUserTest","Chrome - CreateUser","test.AdminCreateUserTest","adminCanLogout"
"Check that a success toast appears confirming the user was created.","1455","Verify success message appears after user creation","Surefire suite","Tue Jun 10 01:15:49 EET 2025","passed","Tue Jun 10 01:15:51 EET 2025","test.AdminCreateUserTest","Surefire test","test.AdminCreateUserTest","confirmSuccessToast"
"Admin searches for the created user and disables the account.","13005","Disable the newly created employee user","OrangeHRM Sequential Suite","Tue Jun 10 02:13:36 EET 2025","broken","Tue Jun 10 02:13:49 EET 2025","test.AdminDisableEmployeeTest","Firefox - DisableUser","test.AdminDisableEmployeeTest","disableEmployeeUser"
"Newly created user logs in and profile name is validated.","1707","Log in with the newly created user account","OrangeHRM Sequential Suite","Tue Jun 10 02:11:52 EET 2025","passed","Tue Jun 10 02:11:54 EET 2025","test.AdminCreateUserTest","Chrome - CreateUser","test.AdminCreateUserTest","newUserCanLogin"
"Admin logs out using the profile dropdown.","1483","Log out from the admin account","OrangeHRM Sequential Suite","Tue Jun 10 02:12:50 EET 2025","passed","Tue Jun 10 02:12:51 EET 2025","test.AdminCreateUserTest","Firefox - CreateUser","test.AdminCreateUserTest","adminCanLogout"
"New user logs out using the profile dropdown.","10546","Log out from the new user account","OrangeHRM Sequential Suite","Tue Jun 10 02:13:03 EET 2025","broken","Tue Jun 10 02:13:14 EET 2025","test.AdminCreateUserTest","Firefox - CreateUser","test.AdminCreateUserTest","newUserCanLogout"
"","1","screenshotOnFailure","OrangeHRM Sequential Suite","Tue Jun 10 02:04:50 EET 2025","broken","Tue Jun 10 02:04:50 EET 2025","test.AdminCreateUserTest","Firefox - CreateUser","test.AdminCreateUserTest","screenshotOnFailure"
"Verify that a toast appears with 'Successfully Saved' after creating user.","1547","Confirm success toast after creating user","Surefire suite","Tue Jun 10 01:16:13 EET 2025","passed","Tue Jun 10 01:16:14 EET 2025","test.AdminDisableEmployeeTest","Surefire test","test.AdminDisableEmployeeTest","confirmSuccessToast"
"Admin logs in using valid credentials and lands on the dashboard.","1551","Verify that admin can log in","OrangeHRM Sequential Suite","Tue Jun 10 02:13:20 EET 2025","passed","Tue Jun 10 02:13:22 EET 2025","test.AdminDisableEmployeeTest","Firefox - DisableUser","test.AdminDisableEmployeeTest","adminCanLogin"
"Admin navigates to user management and creates a new user account.","3523","Verify that admin can create a new user","OrangeHRM Sequential Suite","Tue Jun 10 02:13:22 EET 2025","broken","Tue Jun 10 02:13:25 EET 2025","test.AdminDisableEmployeeTest","Firefox - DisableUser","test.AdminDisableEmployeeTest","adminCanCreateUser"
"","0","tearDown","OrangeHRM Sequential Suite","Tue Jun 10 02:04:51 EET 2025","broken","Tue Jun 10 02:04:51 EET 2025","test.AdminCreateUserTest","Firefox - CreateUser","test.AdminCreateUserTest","tearDown"
"Admin logs in using valid credentials and lands on the dashboard.","2893","Verify that admin can log in","Surefire suite","Tue Jun 10 01:16:03 EET 2025","passed","Tue Jun 10 01:16:06 EET 2025","test.AdminDisableEmployeeTest","Surefire test","test.AdminDisableEmployeeTest","adminCanLogin"
"Login as admin and verify navigation to dashboard page.","1508","Verify that the admin can log into the dashboard","OrangeHRM Sequential Suite","Tue Jun 10 02:12:34 EET 2025","passed","Tue Jun 10 02:12:36 EET 2025","test.AdminCreateUserTest","Firefox - CreateUser","test.AdminCreateUserTest","adminCanLogin"
"Admin adds a new user with a unique username and a predefined password.","3532","Create a new user from the Admin panel","OrangeHRM Sequential Suite","Tue Jun 10 02:12:36 EET 2025","broken","Tue Jun 10 02:12:39 EET 2025","test.AdminCreateUserTest","Firefox - CreateUser","test.AdminCreateUserTest","adminCanCreateUser"
"Admin searches for the created user and disables the account.","6804","Disable the newly created employee user","Surefire suite","Tue Jun 10 01:16:14 EET 2025","passed","Tue Jun 10 01:16:21 EET 2025","test.AdminDisableEmployeeTest","Surefire test","test.AdminDisableEmployeeTest","disableEmployeeUser"
"Attempt to log in using disabled user's credentials and verify error message.","2245","Verify that a disabled user cannot log in","Surefire suite","Tue Jun 10 01:16:24 EET 2025","passed","Tue Jun 10 01:16:27 EET 2025","test.AdminDisableEmployeeTest","Surefire test","test.AdminDisableEmployeeTest","disabledUserCannotLogin"
"Admin logs in using valid credentials and is redirected to the dashboard.","1547","Verify that the admin user can log in successfully","OrangeHRM Sequential Suite","Tue Jun 10 02:11:35 EET 2025","passed","Tue Jun 10 02:11:36 EET 2025","test.AdminLoginTest","Chrome - Login","test.AdminLoginTest","adminCanLogin"
"New user logs out using the profile dropdown.","1893","Log out from the new user account","Surefire suite","Tue Jun 10 01:15:56 EET 2025","passed","Tue Jun 10 01:15:58 EET 2025","test.AdminCreateUserTest","Surefire test","test.AdminCreateUserTest","newUserCanLogout"
"Login as admin and verify navigation to dashboard page.","2003","Verify that the admin can log into the dashboard","Surefire suite","Tue Jun 10 01:15:41 EET 2025","passed","Tue Jun 10 01:15:43 EET 2025","test.AdminCreateUserTest","Surefire test","test.AdminCreateUserTest","adminCanLogin"
"Newly created user logs in and profile name is validated.","2811","Log in with the newly created user account","Surefire suite","Tue Jun 10 01:15:53 EET 2025","passed","Tue Jun 10 01:15:56 EET 2025","test.AdminCreateUserTest","Surefire test","test.AdminCreateUserTest","newUserCanLogin"
"Attempt to log in using disabled user's credentials and verify error message.","1299","Verify that a disabled user cannot log in","OrangeHRM Sequential Suite","Tue Jun 10 02:14:01 EET 2025","failed","Tue Jun 10 02:14:03 EET 2025","test.AdminDisableEmployeeTest","Firefox - DisableUser","test.AdminDisableEmployeeTest","disabledUserCannotLogin"
"Verify that a toast appears with 'Successfully Updated' after disabling user.","1073","Confirm success toast after disabling user","OrangeHRM Sequential Suite","Tue Jun 10 02:12:13 EET 2025","passed","Tue Jun 10 02:12:14 EET 2025","test.AdminDisableEmployeeTest","Chrome - DisableUser","test.AdminDisableEmployeeTest","confirmSuccessToastAfterDisable"
"New user logs out using the profile dropdown.","1251","Log out from the new user account","OrangeHRM Sequential Suite","Tue Jun 10 02:11:54 EET 2025","passed","Tue Jun 10 02:11:55 EET 2025","test.AdminCreateUserTest","Chrome - CreateUser","test.AdminCreateUserTest","newUserCanLogout"
